901.txt                                 
    f [Hz]  Sp [m2s]
    0.0000    0.0000
    0.0008    0.0200
    0.0017    0.0017
    0.0025    0.0007
    0.0033    0.0572
    0.0042    0.0241
    0.0050    0.0307
    0.0058    0.0164
    0.0067    0.0234
    0.0075    0.0224
    0.0083    0.0147
    0.0092    0.0006
    0.0100    0.0142
    0.0108    0.0442
    0.0117    0.0774
    0.0125    0.0286
    0.0133    0.0109
    0.0142    0.0340
    0.0150    0.0023
    0.0158    0.0280
    0.0167    0.0147
    0.0175    0.0345
    0.0183    0.0074
    0.0192    0.0185
    0.0200    0.0179
    0.0208    0.0190
    0.0217    0.0188
    0.0225    0.0185
    0.0233    0.0181
    0.0242    0.0178
    0.0250    0.0174
    0.0258    0.0171
    0.0267    0.0167
    0.0275    0.0164
    0.0283    0.0160
    0.0292    0.0157
    0.0300    0.0154
    0.0308    0.0150
    0.0317    0.0145
    0.0325    0.0142
    0.0333    0.0139
    0.0342    0.0137
    0.0350    0.0135
    0.0358    0.0133
    0.0367    0.0130
    0.0375    0.0129
    0.0383    0.0127
    0.0392    0.0125
    0.0400    0.0124
    0.0408    0.0122
    0.0417    0.0122
    0.0425    0.0122
    0.0433    0.0122
    0.0442    0.0121
    0.0450    0.0121
    0.0458    0.0121
    0.0467    0.0120
    0.0475    0.0119
    0.0483    0.0119
    0.0492    0.0119
    0.0500    0.0119
    0.0508    0.0119
    0.0517    0.0120
    0.0525    0.0120
    0.0533    0.0121
    0.0542    0.0125
    0.0550    0.0130
    0.0558    0.0136
    0.0567    0.0141
    0.0575    0.0146
    0.0583    0.0152
    0.0592    0.0161
    0.0600    0.0169
    0.0608    0.0181
    0.0617    0.0193
    0.0625    0.0212
    0.0633    0.0243
    0.0642    0.0283
    0.0650    0.0326
    0.0658    0.0404
    0.0667    0.0483
    0.0675    0.0572
    0.0683    0.0734
    0.0692    0.0896
    0.0700    0.1154
    0.0708    0.1406
    0.0717    0.1848
    0.0725    0.2364
    0.0733    0.2908
    0.0742    0.3483
    0.0750    0.4193
    0.0758    0.5147
    0.0767    0.6117
    0.0775    0.7095
    0.0783    0.8070
    0.0792    0.9153
    0.0800    1.0195
    0.0808    1.1320
    0.0817    1.2378
    0.0825    1.3510
    0.0833    1.4704
    0.0842    1.6216
    0.0850    1.8509
    0.0858    2.0759
    0.0867    2.3345
    0.0875    2.6251
    0.0883    2.9533
    0.0892    3.2691
    0.0900    3.5900
    0.0908    3.8945
    0.0917    4.1781
    0.0925    4.4425
    0.0933    4.6868
    0.0942    4.9340
    0.0950    5.1614
    0.0958    5.3815
    0.0967    5.5825
    0.0975    5.7608
    0.0983    5.9265
    0.0992    6.0915
    0.1000    6.2543
    0.1008    6.3937
    0.1017    6.5141
    0.1025    6.6094
    0.1033    6.6875
    0.1042    6.7548
    0.1050    6.7991
    0.1058    6.8233
    0.1067    6.8218
    0.1075    6.7993
    0.1083    6.7517
    0.1092    6.6886
    0.1100    6.6170
    0.1108    6.5255
    0.1117    6.4322
    0.1125    6.3140
    0.1133    6.1900
    0.1142    6.0498
    0.1150    5.8925
    0.1158    5.7293
    0.1167    5.5694
    0.1175    5.4198
    0.1183    5.2571
    0.1192    5.0834
    0.1200    4.9004
    0.1208    4.7090
    0.1217    4.5144
    0.1225    4.3102
    0.1233    4.0810
    0.1242    3.8701
    0.1250    3.6484
    0.1258    3.4500
    0.1267    3.3193
    0.1275    3.1890
    0.1283    3.0897
    0.1292    3.0258
    0.1300    3.0115
    0.1308    3.0005
    0.1317    3.0069
    0.1325    3.0089
    0.1333    3.0185
    0.1342    3.0166
    0.1350    3.0098
    0.1358    3.0140
    0.1367    3.0168
    0.1375    3.0213
    0.1383    3.0153
    0.1392    3.0020
    0.1400    2.9852
    0.1408    2.9775
    0.1417    2.9868
    0.1425    2.9858
    0.1433    2.9795
    0.1442    2.9610
    0.1450    2.9555
    0.1458    2.9558
    0.1467    2.9543
    0.1475    2.9578
    0.1483    2.9572
    0.1492    2.9481
    0.1500    2.9271
    0.1508    2.9023
    0.1517    2.8752
    0.1525    2.8421
    0.1533    2.8129
    0.1542    2.7760
    0.1550    2.7318
    0.1558    2.6763
    0.1567    2.6133
    0.1575    2.5545
    0.1583    2.4967
    0.1592    2.4429
    0.1600    2.3873
    0.1608    2.3348
    0.1617    2.2844
    0.1625    2.2240
    0.1633    2.1730
    0.1642    2.1134
    0.1650    2.0474
    0.1658    2.0053
    0.1667    1.9566
    0.1675    1.9109
    0.1683    1.8584
    0.1692    1.8135
    0.1700    1.7643
    0.1708    1.7137
    0.1717    1.6682
    0.1725    1.6261
    0.1733    1.5921
    0.1742    1.5609
    0.1750    1.5488
    0.1758    1.5318
    0.1767    1.5207
    0.1775    1.5052
    0.1783    1.4953
    0.1792    1.4830
    0.1800    1.4650
    0.1808    1.4483
    0.1817    1.4259
    0.1825    1.3988
    0.1833    1.3772
    0.1842    1.3521
    0.1850    1.3352
    0.1858    1.3157
    0.1867    1.3094
    0.1875    1.3045
    0.1883    1.3048
    0.1892    1.3149
    0.1900    1.3283
    0.1908    1.3403
    0.1917    1.3487
    0.1925    1.3518
    0.1933    1.3504
    0.1942    1.3444
    0.1950    1.3377
    0.1958    1.3291
    0.1967    1.3206
    0.1975    1.3088
    0.1983    1.2954
    0.1992    1.2803
    0.2000    1.2658
    0.2008    1.2542
    0.2017    1.2411
    0.2025    1.2319
    0.2033    1.2208
    0.2042    1.2090
    0.2050    1.1917
    0.2058    1.1701
    0.2067    1.1480
    0.2075    1.1256
    0.2083    1.1000
    0.2092    1.0747
    0.2100    1.0470
    0.2108    1.0196
    0.2117    0.9901
    0.2125    0.9629
    0.2133    0.9357
    0.2142    0.9053
    0.2150    0.8810
    0.2158    0.8588
    0.2167    0.8379
    0.2175    0.8147
    0.2183    0.7940
    0.2192    0.7723
    0.2200    0.7514
    0.2208    0.7325
    0.2217    0.7126
    0.2225    0.6900
    0.2233    0.6655
    0.2242    0.6406
    0.2250    0.6179
    0.2258    0.5988
    0.2267    0.5908
