901.txt                                 
   No     H [m]     T [s]
    1    2.0251    7.2394
    2    1.8834    6.3686
    3    2.1717    4.3765
    4    1.2988    6.2279
    5    1.2886    6.1218
    6    1.3695    3.5300
    7    1.4562    6.5396
    8    0.6311    3.3730
    9    1.1819    7.6981
   10    0.4703    3.3490
   11    2.1317    6.6471
   12    1.0782    5.7316
   13    2.5545    4.9079
   14    1.5964    5.9257
   15    0.2700    1.8369
   16    0.3405    2.3699
   17    0.4470    3.1570
   18    1.0528    4.0735
   19    0.6525    3.3876
   20    0.9411    2.5320
   21    0.8005    2.5327
   22    0.6861    5.4761
   23    1.0666    2.8871
   24    1.3271    5.4435
   25    1.8205    4.2479
   26    0.4289    1.8700
   27    0.9741    3.7081
   28    1.3203    4.0163
   29    0.2939    1.7312
   30    1.0731    3.3351
   31    1.1492    3.5245
   32    2.5488    8.1878
   33    0.4686    5.9859
   34    1.1299    3.6252
   35    1.3855    5.0195
   36    0.3745    1.7648
   37    1.2750    4.6875
   38    1.4138    9.0447
   39    1.0176    4.3025
   40    0.5561    3.1890
   41    1.2851    4.2467
   42    0.5869    2.4448
   43    1.4690    6.7056
   44    1.4481    2.9996
   45    0.6801    3.1316
   46    2.5214    6.2551
   47    2.7314    8.2916
   48    0.8965    6.3862
   49    2.0399    7.0795
   50    1.8756    6.1298
   51    0.6973    3.2192
   52    0.8110    3.4791
   53    3.3960    7.4269
   54    0.8149    4.1817
   55    2.1082    7.0742
   56    0.4707    1.8539
   57    0.9032    5.2844
   58    1.4613    5.1509
   59    1.6210    9.5290
   60    1.4597    7.8886
   61    0.2140    1.9071
   62    2.2599    5.3808
   63    0.3961    2.4546
   64    2.4388    6.5774
   65    1.8550    4.6835
   66    2.1210    6.8463
   67    0.2686    1.7663
   68    2.1048    8.0744
   69    0.8493    4.4472
   70    1.3083    4.2840
   71    2.5523    7.5696
   72    2.0900    7.7330
   73    0.8812    2.9522
   74    2.4896    7.8389
   75    2.4703    7.7426
   76    1.9678    6.5966
   77    1.5073    6.6628
   78    3.6779    7.0622
   79    1.7946    6.1173
   80    1.3769    7.0989
   81    2.6199    6.1218
   82    1.7561    9.2071
   83    2.3132    8.4616
   84    1.7211   10.3607
   85    3.1305    7.3944
   86    1.7996    4.0917
   87    2.4492    8.6658
   88    2.5447    8.1681
   89    1.8662    7.4158
   90    1.7663    7.9696
   91    1.8986    6.4741
   92    1.1241    4.5160
   93    3.1650    8.4274
   94    2.5228    9.8000
   95    2.8136    6.6040
   96    2.5694    5.3227
   97    0.7660    5.1127
   98    0.9927    5.0429
   99    1.7080    8.1155
  100    0.7502    3.5164
  101    1.6286    8.4334
  102    1.1893    3.8953
  103    2.1152    6.4234
  104    1.4411   11.3643
  105    1.2675    7.1194
  106    1.0526    7.4330
  107    2.6768    8.4074
  108    0.3252    1.3929
  109    1.3759    3.2697
  110    0.3573    1.9838
  111    1.9809    5.3995
  112    2.5436    8.5527
  113    2.1816    6.4338
  114    1.0555    4.4702
  115    0.8375    2.4311
  116    1.7036    6.4456
  117    1.3267    7.2444
  118    1.9806    4.3705
  119    2.0589    8.0619
  120    1.0403    3.6615
  121    1.2560    3.5814
  122    1.2269    4.5312
  123    1.8429    7.9426
  124    1.1817    7.1288
  125    0.5707    3.6805
  126    1.8859    4.6989
  127    1.0668    2.7206
  128    2.2909    6.8006
  129    2.2542    7.0685
  130    1.4213    6.7916
  131    0.6315    2.3776
  132    1.9277    4.2805
  133    2.7016    5.2090
  134    0.4646    3.8422
  135    1.2550    3.4195
  136    3.2917    6.1714
  137    2.7534    8.9122
  138    1.1308    3.6626
  139    2.3229    8.2932
  140    3.5607    7.8802
  141    2.3682    8.1413
  142    0.6282    3.8332
  143    2.0128    7.8044
  144    1.4432    6.4882
  145    1.8077    3.0917
  146    3.2103    7.3984
  147    2.2261   10.3485
  148    0.6015    2.7061
  149    3.0525    7.3077
  150    2.9308    8.7645
  151    1.4378    6.6904
  152    0.9108    2.9561
  153    1.4735    5.6680
  154    0.2216    1.7048
  155    0.5178    2.6636
  156    1.2520    6.1721
  157    1.2455    4.9745
  158    0.5535    4.4899
  159    0.5885    2.6707
  160    1.1877    4.4174
  161    1.9568    4.5670
  162    1.4041    3.0139
  163    2.5287    8.0619
  164    1.6582    8.0929
  165    0.2642    2.8557
  166    1.9838    7.8045
  167    1.1028    5.2396
  168    1.4493    9.6974
  169    2.5105    8.1964
  170    2.9748    8.4402
  171    3.5592    8.4213
  172    1.8253    3.9484
  173    0.4405    2.2497
  174    1.5528    4.5981
  175    3.9846    8.6526
  176    3.8050   10.1071
  177    3.1356    9.6282
  178    1.0841    3.0353
  179    3.0724    6.7908
  180    3.3084    8.2535
  181    1.3451    5.1947
  182    1.7392    4.6612
  183    4.3988    7.8743
  184    2.3530    8.5237
  185    1.2262    4.7582
  186    2.1147    6.0653
  187    1.1313    6.2976
  188    1.1032    4.0272
  189    1.8251    6.1750
  190    1.1325    4.8105
  191    2.6679    7.5376
  192    2.9468   10.4701
  193    3.1543    8.9991
  194    4.2972    8.3119
  195    3.4518    9.3740
  196    2.4889    9.6332
  197    1.9063    6.9396
  198    1.5753    6.1653
  199    1.9926    7.9253
  200    1.5384    7.3425
  201    2.0454    6.1494
  202    1.0279    3.8712
  203    2.0939    5.4984
  204    1.0867    3.1322
  205    1.1838    3.4204
  206    1.4988    6.8578
  207    2.1853    7.5341
  208    0.3449    1.5724
  209    1.5537    4.8000
  210    0.8593    5.0252
